isbn,original_title,authors
055358202X,A Feast for Crows,George R.R. Martin
525423648,Matched,Ally Condie
747263744,American Gods,Neil Gaiman
385199570,The Stand,"Stephen King, Bernie Wrightson"
446547565,The Last Song,Nicholas Sparks
552151696,Digital Fortress,Dan Brown
141439580,Emma,"Jane Austen, Fiona Stafford"
345803922,Анна Каренина,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude"
393312836,A Clockwork Orange,Anthony Burgess
964729237,The Shack: Where Tragedy Confronts Eternity,William Paul Young
739380338,The Last Olympian,Rick Riordan
451169514,It,Stephen King
143058142,Преступление и наказание,"Fyodor Dostoyevsky, David McDuff"
61148512,The Bell Jar,Sylvia Plath
7205236,Angela's Ashes: A Memoir,Frank McCourt
553208845,Siddhartha,"Hermann Hesse, Hilda Rosner"
679745580,In Cold Blood,Truman Capote
316042676,Beautiful Creatures,"Kami Garcia, Margaret Stohl"
1416975861,Clockwork Angel,Cassandra Clare
141301066,Matilda,"Roald Dahl, Quentin Blake"
385534639,The Night Circus,Erin Morgenstern
743227441,The Other Boleyn Girl,Philippa Gregory
689865384,Uglies,Scott Westerfeld
,A Dance with Dragons,George R.R. Martin
618640150,The Lord of the Rings,J.R.R. Tolkien
307592731,Wild: From Lost to Found on the Pacific Crest Trail ,Cheryl Strayed
930289234,Watchmen,"Alan Moore, Dave Gibbons, John Higgins"
075640407X,The Name of the Wind,Patrick Rothfuss
316017922,Outliers: The Story of Success,Malcolm Gladwell
142437247,"Moby Dick; or, The Whale","Herman Melville, Andrew Delbanco, Tom Quirk"
385340990,The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows"
393327345,Fight Club,Chuck Palahniuk
441008534,Dead Until Dark,Charlaine Harris
671727796,The Color Purple,Alice Walker
739461192,Marley & Me: Life and Love with the World's Worst Dog,John Grogan
312330871,Ten Little Niggers,Agatha Christie
385504225,The Lost Symbol,Dan Brown
1416989412,"Hush, Hush",Becca Fitzpatrick
,Beautiful Disaster,Jamie McGuire
1561797464,A Christmas Carol,Charles Dickens
345476875,Interview with the Vampire,Anne Rice
62059939,The Selection,Kiera Cass
312362080,One for the Money,Janet Evanovich
1400052173,The Immortal Life of Henrietta Lacks,Rebecca Skloot
99446782,The Silence of the Lambs,Thomas Harris
159514174X,,Richelle Mead
316010669,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell
038572179X,Atonement,Ian McEwan
553213695,Die Verwandlung,"Franz Kafka, Stanley Corngold"
141382899,The Titan's Curse,Rick Riordan
030788743X,,Ernest Cline
1554681723,The Art of Racing in the Rain,Garth Stein
739303406,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America","Erik Larson, Tony Goldwyn"
425263908,Bared to You,Sylvia Day
66238501,The Chronicles of Narnia,"C.S. Lewis, Pauline Baynes"
316043133,Twilight: The Complete Illustrated Movie Companion,Mark Cotta Vaz
1558743669,"A Child Called ""It"": One Child's Courage to Survive",Dave Pelzer
752864327,The Bourne Identity,Robert Ludlum
786817879,Artemis Fowl,Eoin Colfer
385738935,Fallen,Lauren Kate
142000655,East of Eden  ,John Steinbeck
307341569,Dark Places,Gillian Flynn
385339089,The Client,John Grisham
312291639,The Nanny Diaries,"Emma McLaughlin, Nicola Kraus"
451527747,Alice's Adventures in Wonderland,"Lewis Carroll, John Tenniel, Martin Gardner"
192802631,Persuasion,"Jane Austen, James Kinsley, Deidre Shauna Lynch"
312370830,Elle s'appelait Sarah,Tatiana de Rosnay
452284694,The Gunslinger,Stephen King
140003468X,El amor en los tiempos del cólera,"Gabriel García Márquez, Edith Grossman"
014131088X,Speak,Laurie Halse Anderson
399159347,The Husband's Secret ,Liane Moriarty
385494785,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer
1416524304,Carrie,Stephen King
031242227X,Running with Scissors,Augusten Burroughs
307346609,World War Z: An Oral History of the Zombie War,Max Brooks
385537859,Inferno,Dan Brown
440227534,Number the Stars,Lois Lowry
446692638,Along Came a Spider,James Patterson
450417395,Misery,Stephen King
307341542,Sharp Objects,Gillian Flynn
439366771,Bridge to Terabithia,Katherine Paterson
312360266,Marked,"P.C. Cast, Kristin Cast"
743269519,The 7 Habits of Highly Effective People,Stephen R. Covey
743477545,A Midsummer Night's Dream,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey"
618711651,Extremely Loud and Incredibly Close,Jonathan Safran Foer
375869026,Wonder,R.J. Palacio
039480001X,The Cat in the Hat,Dr. Seuss
312641893,Cinder,Marissa Meyer
316206849,The Cuckoo's Calling,"Robert Galbraith, J.K. Rowling"
545123267,Shiver,Maggie Stiefvater
452011876,Atlas Shrugged,"Ayn Rand, Leonard Peikoff"
143038257,Three Cups of Tea ,"Greg Mortenson, David Oliver Relin"
517223627,,"Jane Carruth, Lewis Carroll, Rene Cloke"
143034901,La sombra del viento,"Carlos Ruiz Zafón, Lucia Graves"
385738757,The Scorch Trials,James Dashner
,How to Win Friends and Influence People,Dale Carnegie
767900383,Under the Tuscan Sun,Frances Mayes
399167064,Big Little Lies,Liane Moriarty
590920685,Ella Enchanted,Gail Carson Levine
743297334,The Sun Also Rises,Ernest Hemingway
61120073,A Tree Grows In Brooklyn ,Betty  Smith
446677388,Kiss the Girls,James Patterson
312577222,The Nightingale,Kristin Hannah
1400078776,Never Let Me Go,Kazuo Ishiguro
786890754,"PS, I Love You",Cecelia Ahern
1844080382,Rebecca,"Daphne du Maurier, Sally Beauman"
156030306,Flowers for Algernon,Daniel Keyes
552995878,Como agua para chocolate,"Laura Esquivel, Thomas  Christensen, Carol Christensen"
812968069,Snow Flower and the Secret Fan,Lisa See
451205766,The Godfather,"Mario Puzo, Robert Thompson, Peter Bart"
525476881,An Abundance of Katherines,John Green
553803719,Foundation,Isaac Asimov
62255657,The Ocean at the End of the Lane,Neil Gaiman
60513063,A Light in the Attic,Shel Silverstein
751565350,"Harry Potter and the Cursed Child, Parts One and Two","John Tiffany, Jack Thorne, J.K. Rowling"
61726834,Delirium,Lauren Oliver
385339704,The Pelican Brief,John Grisham
61139378,Coraline,Neil Gaiman
60853980,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman"
140042598,On the Road,Jack Kerouac
1476729085,The Rosie Project,Graeme Simsion
446579939,The Lucky One,Nicholas Sparks
451191153,The Fountainhead,"Ayn Rand, Leonard Peikoff"
425172902,The Hunt for Red October,Tom Clancy
038039586X,Watership Down,Richard Adams
307886263,Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling
375414495,Cutting for Stone,Abraham Verghese
006112527X,The Voyage of the Dawn Treader,"C.S. Lewis, Pauline Baynes"
753453800,Treasure Island,Robert Louis Stevenson
1423140591,The Son of Neptune ,Rick Riordan
1451627289,11/22/63,Stephen King
241003008,The Very Hungry Caterpillar,Eric Carle
140285601,Cat's Cradle,Kurt Vonnegut Jr.
451528557,The Time Machine,"H.G. Wells, Greg Bear, Carlo Pagetti"
849946158,,"Todd Burpo, Lynn Vincent"
385751060,The Boy in the Striped Pyjamas,John Boyne
1892295490,Heart of Darkness,Joseph Conrad
044654759X,Safe Haven,Nicholas Sparks
1582701709,The Secret,Rhonda Byrne
60987561,I Know This Much Is True ,Wally Lamb
1416524347,Pet Sematary,Stephen King
671021001,She's Come Undone,Wally Lamb
756404738,The Wise Man's Fear,Patrick Rothfuss
440241901,Can You Keep a Secret?,Sophie Kinsella
1442403543,City of Fallen Angels,Cassandra Clare
743418174,Good in Bed,Jennifer Weiner
380018179,The Thorn Birds,Colleen McCullough
60530928,The Graveyard Book,"Neil Gaiman, Dave McKean"
1451681739,The Light Between Oceans,M.L. Stedman
439709105,Tintenherz,"Cornelia Funke, Anthea Bell"
91883768,Who Moved My Cheese?,"Spencer Johnson, Kenneth H. Blanchard"
307279464,A Walk in the Woods,Bill Bryson
553279378,I Know Why the Caged Bird Sings,Maya Angelou
61950726,Orphan Train,Christina Baker Kline
1442416866,City of Lost Souls,Cassandra Clare
316204277,"Where'd You Go, Bernadette",Maria Semple
375806814,Where the Red Fern Grows,Wilson Rawls
60557818,Neverwhere,Neil Gaiman
571224385,Nesnesitelná lehkost bytí,"Milan Kundera, Michael Henry Heim"
,,Rainbow Rowell
552135399,A Prayer for Owen Meany,John Irving
316182540,White Oleander,Janet Fitch
039925675X,Legend,Marie Lu
743496728,Nineteen Minutes,Jodi Picoult
1401323251,The Last Lecture,"Randy Pausch, Jeffrey Zaslow"
812511816,The Eye of the World,Robert Jordan
61150142,The Pact,Jodi Picoult
60764902,The magician's nephew,C.S. Lewis
595440096,Still Alice,Lisa Genova
425263916,Reflected in You,Sylvia Day
375814248,James and the Giant Peach,"Roald Dahl, Quentin Blake"
446696617,1st To Die,James Patterson
345453743,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,Douglas Adams
340896965,One Day,David Nicholls
60775858,,"Margaret Wise Brown, Clement Hurd"
61969559,I Am Number Four,Pittacus Lore
140275363,Ἰλιάς,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox"
316228532,The Casual Vacancy,J.K. Rowling
385339690,The Runaway Jury,John Grisham
316777730,Naked,David Sedaris
375840400,Eldest,Christopher Paolini
140621679,The Wonderful Wizard of Oz,"L. Frank Baum, W.W. Denslow"
000720230X,Prince Caspian: The Return to Narnia,C.S. Lewis
,We Were Liars,E. Lockhart
450031063,Salem's Lot,Stephen King
679785892,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,"Hunter S. Thompson, Ralph Steadman"
1416975888,Clockwork Prince,Cassandra Clare
62268341,Yes Please,Amy Poehler
743477553,"The Tragedy of Othello, The Moor of Venice",William Shakespeare
1400033411,Beloved,Toni Morrison
015206396X,Graceling,Kristin Cashore
439206472,The Bad Beginning,"Lemony Snicket, Brett Helquist"
449213943,Im Westen nichts Neues,"Erich Maria Remarque, A.W. Wheen"
679805273,"Oh, the Places You'll Go!",Dr. Seuss
159463176X,And The Mountains Echoed,Khaled Hosseini
345404475,Do Androids Dream of Electric Sheep?,"Philip K. Dick, Roger Zelazny"
141439742,Oliver Twist,"Charles Dickens, George Cruikshank, Philip Horne"
60652896,A Grief Observed,C.S. Lewis
525423273,Anna and the French Kiss,Stephanie Perkins
7173040,How the Grinch Stole Christmas!,Dr. Seuss
1401207928,V for Vendetta,"Alan Moore, David   Lloyd"
743223136,John Adams,David McCullough
553384287,Odd Thomas,Dean Koontz
679879250,The Subtle Knife,Philip Pullman
439488400,Stargirl,Jerry Spinelli
1423113381,The Red Pyramid,Rick Riordan
441788386,Stranger in a Strange Land,Robert A. Heinlein
965904830,Dress Your Family in Corduroy and Denim,David Sedaris
141311371,The BFG,"Roald Dahl, Quentin Blake"
076790818X,A Short History of Nearly Everything,Bill Bryson
439227143,The Call of the Wild,Jack London
385738773,The Death Cure,James Dashner
61142026,Stardust,Neil Gaiman
618485228,The Namesake,Jhumpa Lahiri
670022411,A Discovery of Witches,Deborah Harkness
375704027,ノルウェイの森 [Noruwei no Mori],"Haruki Murakami, Jay Rubin"
446672211,Where the Heart Is,Billie Letts
525421580,"Will Grayson, Will Grayson","John Green, David Levithan"
307276902,A Million Little Pieces,James Frey
1595141758,Frostbite,Richelle Mead
307352145,Quiet: The Power of Introverts in a World that Can't Stop Talking,Susan Cain
440439884,Island of the Blue Dolphins,Scott O'Dell
142437336,The Crucible,"Arthur Miller, Christopher Bigsby"
689840926,Hatchet,Gary Paulsen
076531178X,Mistborn : The Final Empire,Brandon Sanderson
451528956,The Strange Case of Dr Jekyll and Mr Hyde,"Robert Louis Stevenson, Vladimir Nabokov, Mervyn Peake, Dan Chaon"
679889108,The Lorax,Dr. Seuss
810993139,Greg Heffley's Journal,Jeff Kinney
1599906953,Throne of Glass,Sarah J. Maas
1595141979,Shadow Kiss,Richelle Mead
684803356,For Whom the Bell Tolls,Ernest Hemingway
345505336,Hotel on the Corner of Bitter and Sweet,Jamie Ford
140120831,Das Parfum. Die Geschichte eines Mörders,"Patrick Süskind, John E. Woods"
60838582,Fast Food Nation : The Dark Side of the All-American Meal ,Eric Schlosser
747599874,The Tales of Beedle the Bard,J.K. Rowling
441569595,Neuromancer,William Gibson
99910101,A Farewell to Arms,Ernest Hemingway
553212281,The Tell-Tale Heart,Edgar Allan Poe
1590302257,孫子兵法 [Sūnzi bīngfǎ],"Sun Tzu, Thomas Cleary"
385344228,Defending Jacob,William Landay
385334206,Breakfast of Champions,Kurt Vonnegut Jr.
874774241,Drawing on the Right Side of the Brain,Betty Edwards
60838728,Bel Canto,Ann Patchett
739467352,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond
375508414,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg
385474547,Things Fall Apart,Chinua Achebe
385338694,The Undomestic Goddess,Sophie Kinsella
1881273156,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman
,Les Trois Mousquetaires,Alexandre Dumas
1416589643,The Other Hand,Chris Cleave
031253275X,Evermore,Alyson Noel
590032496,The Witches,"Roald Dahl, Quentin Blake"
743298020,The Thirteenth Tale,Diane Setterfield
1595142509,Spirit Bound,Richelle Mead
1595141987,Blood Promise,Richelle Mead
446676071,Message in a Bottle,Nicholas Sparks
345521307,The Paris Wife,Paula McLain
545044251,Complete Harry Potter Boxed Set,J.K. Rowling
62059963,The Elite,Kiera Cass
156001314,Il nome della rosa,"Umberto Eco, William Weaver, Seán Barrett"
1416914633,Go Ask Alice,"Beatrice Sparks, Anonymous"
802130208,A Confederacy of Dunces,"John Kennedy Toole, Walker Percy"
158049580X,The Importance of Being Earnest,Oscar Wilde
1423140605,The Mark of Athena,Rick Riordan
60855924,The Colour of Magic,Terry Pratchett
1400079276,海辺のカフカ [Umibe no Kafuka],"Haruki Murakami, Philip Gabriel"
525945563,Red Dragon,Thomas Harris
553803700,"I, Robot",Isaac Asimov
451216954,Dark Lover,J.R. Ward
1416989439,Crescendo,Becca Fitzpatrick
61726818,Before I Fall,Lauren Oliver
679457313,The God of Small Things,Arundhati Roy
670024783,The Invention of Wings,Sue Monk Kidd
141043768,What Alice Forgot,Liane Moriarty
553380168,A Brief History of Time: From the Big Bang to Black Holes,"Stephen Hawking, Cao Chi, Phạm Văn Thiều"
525951652,Fall of Giants,Ken Follett
1439148503,Under the Dome,Stephen King
553380958,Snow Crash,Neal Stephenson
670061050,Just Listen,Sarah Dessen
525467564,Winnie-the-Pooh,"A.A. Milne, Ernest H. Shepard"
62060554,Before I Go to Sleep,S.J. Watson
1420925539,A Study in Scarlet,Arthur Conan Doyle
375826726,Brisingr,Christopher Paolini
310276993,The Purpose Driven Life: What on Earth am I Here For?,Rick Warren
312360282,Betrayed: a House of Night Novel,"P.C. Cast, Kristin Cast"
451457811,Storm Front,Jim Butcher
1593082649,Northanger Abbey,"Jane Austen, Alfred MacAdam"
399162410,The 5th Wave,Rick Yancey
802142842,Cold Mountain,Charles Frazier
60245867,If You Give a Mouse a Cookie,"Laura Joffe Numeroff, Felicia Bond"
312323867,Something Blue,Emily Giffin
822210894,A Streetcar Named Desire,Tennessee Williams
751537284,The Historian,Elizabeth Kostova
385353308,Station Eleven,Emily St. John Mandel
1476738017,En man som heter Ove,"Fredrik Backman, Henning Koch"
1406321346,Clockwork Princess,Cassandra Clare
1416500189,The Good Earth,Pearl S. Buck
140135154,Ways of Seeing,John Berger
385335970,Dragonfly in Amber,Diana Gabaldon
,,Anonymous
743495667,In Her Shoes,Jennifer Weiner
345368584,The Hobbit,"Chuck Dixon, J.R.R. Tolkien, David Wenzel, Sean Deming"
1594489580,The Brief Wondrous Life of Oscar Wao,Junot Díaz
61120065,Their Eyes Were Watching God,Zora Neale Hurston
439321603,Fantastic Beasts and Where to Find Them,"Newt Scamander, J.K. Rowling, Albus Dumbledore"
316322407,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,"Malala Yousafzai, Christina Lamb"
141439807,Mansfield Park,"Jane Austen, Kathryn Sutherland, Tony Tanner, Claire Lamont"
080701429X,…trotzdem Ja zum Leben sagen: Ein Psychologe erlebt das Konzentrationslager,Viktor E. Frankl
670038601,In the Woods,Tana French
618680004,The God Delusion,Richard Dawkins
525422943,Where She Went,Gayle Forman
345915593,The World According to Garp,John Irving
515141429,Killing Floor,Lee Child
375757325,"The Life and Strange Surprising Adventures of Robinson Crusoe of York, Mariner","Daniel Defoe, Gerald McCann, Virginia Woolf"
937832383,Il Principe,"Niccolò Machiavelli, Adolph Caso, Rufus Goodwin, Benjamin Martinez"
440238153,The Amber Spyglass,Philip Pullman
765346524,Wizard's First Rule,Terry Goodkind
1439153663,The Kitchen House,Kathleen Grissom
316769029,Franny and Zooey,J.D. Salinger
385720920,Choke,Chuck Palahniuk
374528373,Братья Карамазовы,"Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky"
375822747,The City of Ember,Jeanne DuPrau
60541814,The Andromeda Strain,Michael Crichton
451933028,The Green Mile,Stephen King
000100039X,The Prophet,Kahlil Gibran
394541553,Maus: A Survivor's Tale : My Father Bleeds History,Art Spiegelman
312379838,Untamed: A House of Night Novel,"P.C. Cast, Kristin Cast"
812550757,Speaker for the Dead,Orson Scott Card
684823780,Mere Christianity,C.S. Lewis
1400031702,The Secret History,Donna Tartt
375725784,A Heartbreaking Work of Staggering Genius,Dave Eggers
553381679,The Clan of the Cave Bear,Jean M. Auel
439228905,Black Beauty,Anna Sewell
192833987,Война и миръ,"Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude"
679735771,American Psycho,Bret Easton Ellis
613371658,The Princess Diaries,Meg Cabot
1400034779,The No. 1 Ladies' Detective Agency ,Alexander McCall Smith
1582406723,"The Walking Dead, Vol. 1: Days Gone Bye","Robert Kirkman, Tony Moore"
451457994,2001: A Space Odyssey,Arthur C. Clarke
1590525132,,Francine Rivers
842342702,Left Behind:  A Novel of the Earth's Last Days,"Tim LaHaye, Jerry B. Jenkins"
62059998,The One,Kiera Cass
545265355,The Hunger Games Box Set,Suzanne Collins
805063897,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich
593053893,Remember Me?,Sophie Kinsella
812517725,The Great Hunt,Robert Jordan
743477154,Post-Mortem:  A Mystery Introducing Dr. Kay Scarpetta,Patricia Cornwell
385074077,The Complete Tales of Edgar Allan Poe,Edgar Allan Poe
553256696,The Hiding Place,"Corrie ten Boom, John Sherrill, Elizabeth Sherrill"
192835084,The Adventures of Sherlock Holmes,Arthur Conan Doyle
553381547,The Prince of Tides,Pat Conroy
312282990,The Amazing Adventures of Kavalier & Clay,Michael Chabon
802798233,Perfect Chemistry,Simone Elkeles
805072454,Peter Pan,"J.M. Barrie, Michael Hague"
689865392,Pretties,Scott Westerfeld
